ID,TYPE,NAME,LATITUDE,LONGITUDE,COUNTRY,REGION
10162,heliport,Spring Land Heliport,40,-75,US,US-PA
10163,heliport,Sabinsville-Consolidated Heliport,42,-78,US,US-PA
10168,heliport,CMH Medical Heliport,37,-78,US,US-VA
10170,small_airport,Barker Strip,43,-88,US,US-WI
10179,heliport,Magic Air Adventure Heliport,28,-81,US,US-FL
10180,heliport,Bay Helicopters Heliport,30,-86,US,US-FL
10181,heliport,Mease Hospital Countryside Heliport,28,-83,US,US-FL
10182,small_airport,Lola Landing Airport,34,-84,US,US-GA
10184,small_airport,Newby Landing Airport,40,-86,US,US-IN
10186,small_airport,Peterson Ultralightport,42,-86,US,US-IN
10189,small_airport,Arnolds Airport,38,-85,US,US-KY
10193,small_airport,Tecumseh Products Airport,42,-84,US,US-MI
10196,small_airport,Greensboro North Airport,36,-80,US,US-NC
10198,heliport,Long Pond Landing Heliport,43,-71,US,US-NH
10199,heliport,Colliers Mills Heliport,40,-74,US,US-NJ
10200,small_airport,Dew Airpark,42,-78,US,US-NY
10201,small_airport,Wright's Field,40,-82,US,US-OH
10202,small_airport,Verhoff Airport,41,-84,US,US-OH
10205,heliport,Episcopal Hospital Heliport,40,-75,US,US-PA
10206,heliport,Us Army Reserve Center Heliport,40,-75,US,US-PA
10209,small_airport,Ruckman Field,36,-87,US,US-TN
10212,heliport,Carilion Westlake Center Heliport,37,-80,US,US-VA
45870,seaplane_base,North Hero Passage Seaplane Base,45,-73,US,US-VT
10222,heliport,Florida Hospital Heliport,29,-81,US,US-FL
10223,heliport,Ringhaver Heliport,28,-81,US,US-FL
10224,small_airport,Flying Harness Farms Airport,30,-83,US,US-FL
10225,small_airport,Blue Bird Field,35,-85,US,US-GA
10226,small_airport,Troy Skypark Airport,40,-84,US,US-OH
10227,small_airport,Winn Field,41,-86,US,US-IN
10228,small_airport,Minder Airport,40,-89,US,US-IL
10229,small_airport,Felix Airport,40,-87,US,US-IN
10230,small_airport,Hilbert Airport,42,-89,US,US-IL
10232,heliport,Uk Hospital Heliport,38,-85,US,US-KY
10234,small_airport,Dale Curten Farm Airport,38,-90,US,US-IL
10236,small_airport,Hornersville Memorial Airport,36,-90,US,US-MO
45471,heliport,Hanson Heliport,42,-72,US,US-MA
10237,small_airport,Handleman Sky Ranch Airport,43,-83,US,US-MI
10241,heliport,Valdese General Hospital Heliport,36,-82,US,US-NC
10244,heliport,Deepwater Heliport,40,-75,US,US-NJ
10245,heliport,Cuba Memorial Hospital Heliport,42,-78,US,US-NY
10246,heliport,Southwest General Hospital Heliport,41,-82,US,US-OH
10247,small_airport,Cole Airfield,41,-83,US,US-OH
10250,small_airport,Roadcap Airport,41,-77,US,US-PA
45750,heliport,Hanover Hospital Heliport,40,-77,US,US-PA
10254,heliport,Univ of Tennessee Lifestar Sweetwater Heliport,36,-84,US,US-TN
10257,heliport,St. Mary's Hospital Heliport,38,-78,US,US-VA
10258,small_airport,Brisson Airport,44,-73,US,US-VT
10260,small_airport,Docken Field,43,-90,US,US-WI
10267,small_airport,Cain Field,44,-85,US,US-MI
10272,small_airport,Blue Springs Airport,30,-83,US,US-FL
10273,heliport,Griffin's Main Office Heliport,28,-82,US,US-FL
10274,heliport,Flagler Hospital Heliport,30,-81,US,US-FL
10275,heliport,Lanier Park Hospital Heliport,34,-84,US,US-GA
10276,small_airport,Weller Airport,40,-84,US,US-OH
45417,small_airport,Hampton Field,40,-87,US,US-IN
10277,heliport,Abraham Lincoln Memorial Hosp Heliport,40,-89,US,US-IL
10278,small_airport,Fuller Field,40,-86,US,US-IN
10282,heliport,Grant County Hospital Heliport,39,-85,US,US-KY
10284,heliport,Gateway Regional Medical Center Heliport,39,-90,US,US-IL
10286,small_airport,Chicora Field,42,-86,US,US-MI
10289,small_airport,Smyrna Airport,39,-76,US,US-DE
10290,heliport,Annie Penn Hospital Heliport,36,-80,US,US-NC
10293,heliport,Wjrz Radio Heliport,40,-74,US,US-NJ
10294,small_airport,Greenlawn Farm Airport,43,-77,US,US-NY
10295,small_airport,Industry Air Park,40,-83,US,US-OH
10296,small_airport,Ronshausen Airport,40,-83,US,US-OH
10299,small_airport,Aerequus Airport,40,-75,US,US-PA
10300,small_airport,Waisley Airport,42,-80,US,US-PA
45778,small_airport,La Dolce Terra Airport,35,-82,US,US-SC
10303,small_airport,Sugar Grove Airport,37,-86,US,US-TN
10307,heliport,State Police Division Three Heliport,37,-79,US,US-VA
10310,small_airport,Northport Airport,44,-89,US,US-WI
10311,small_airport,River's Edge Farm Airport,39,-78,US,US-WV
10316,seaplane_base,Nugent Chamberlain Lake Seaplane Base,46,-69,US,US-ME
10320,small_airport,Sanders Ranch Airport,30,-82,US,US-FL
10321,small_airport,Ancient Oaks Airport,30,-83,US,US-FL
10322,heliport,Palm Beach Sheriff's Range Heliport,27,-80,US,US-FL
10323,small_airport,Avoca Airport,43,-83,US,US-MI
10324,heliport,Wayne Memorial Hospital Heliport,32,-82,US,US-GA
10327,small_airport,Miller Field,42,-86,US,US-IN
10328,small_airport,Mason Airport,40,-89,US,US-IL
10329,small_airport,Roberts Field,40,-85,US,US-IN
10330,small_airport,Hagi Landing Area Airport,41,-89,US,US-IL
10333,heliport,Somerset-Pulaski Co EMS Heliport,37,-85,US,US-KY
10335,small_airport,Huber Airport,46,-88,US,US-MI
10338,heliport,Rebel Field,35,-82,US,US-NC
10339,heliport,Troop B Heliport,41,-74,US,US-NJ
10340,heliport,Print Pad Heliport,41,-74,US,US-NY
10341,small_airport,Crosswind Meadows Airport,41,-81,US,US-OH
10345,small_airport,Gehris Airport,40,-75,US,US-PA
10346,small_airport,Nelson's Run Airport,41,-80,US,US-PA
10348,small_airport,Tripp Creek Airport,43,-84,US,US-MI
45796,small_airport,Big Sandy Airpark,36,-88,US,US-TN
10353,heliport,Kingstowne Heliport,39,-77,US,US-VA
10357,small_airport,Flying-A-Ranch Airport,43,-86,US,US-MI
10358,small_airport,Grove Hill Municipal Airport,32,-88,US,US-AL
10370,heliport,Fayette County Hospital Heliport,34,-88,US,US-AL
10371,small_airport,Flying H Ranch Airport,31,-86,US,US-AL
10372,heliport,East Alabama Medical Center Heliport,33,-85,US,US-AL
10373,heliport,Tuscaloosa Police Department Heliport,33,-88,US,US-AL
10374,heliport,Aldot Complex Heliport,32,-86,US,US-AL
10375,small_airport,Edwards Farm Airport,34,-86,US,US-AL
10376,small_airport,Town & Country Airpark,33,-86,US,US-AL
10377,small_airport,Flowers Field,32,-88,US,US-AL
10378,small_airport,Flint River Ranch Airport,35,-86,US,US-AL
10379,heliport,Cullman Regional Medical Center Heliport,34,-87,US,US-AL
10389,small_airport,Quinn Field,36,-90,US,US-AR
18674,small_airport,Sterling Airport,42,-72,US,US-MA
10401,small_airport,Mishawaka Pilots Club Airport,42,-86,US,US-IN
10403,small_airport,Wheeler Airport,41,-87,US,US-IN
10432,small_airport,Crivitz Municipal Airport,45,-88,US,US-WI
10433,small_airport,Ephraim-Fish Creek Airport,45,-87,US,US-WI
10434,small_airport,Bordner Airport,41,-84,US,US-OH
10435,small_airport,Dalton Airport,43,-84,US,US-MI
10437,small_airport,Skylane Airport,38,-88,US,US-IN
10439,small_airport,Forest Hill Airport,43,-85,US,US-MI
45351,heliport,Fly High Heliport,28,-82,US,US-FL
45358,heliport,Southfork Heliport,28,-81,US,US-FL
46076,heliport,Gulf Coast Medical Center Heliport,27,-82,US,US-FL
299722,seaplane_base,Searey Central SPB,29,-82,US,US-FL
10440,small_airport,Last Chance Ranch Airport,27,-81,US,US-FL
10441,closed,Tampa Bay Executive Airport,28,-83,US,US-FL
10442,heliport,L R M C Emergency Helistop,29,-82,US,US-FL
10443,heliport,Holmes Regional Medical Center Heliport,28,-81,US,US-FL
10444,small_airport,Florida Flying Gators Ultralightport,29,-82,US,US-FL
10445,heliport,Arnold Palmer Hospital Heliport,29,-81,US,US-FL
10446,small_airport,Tradewinds Aerodrome,29,-81,US,US-FL
10447,heliport,Indian River Memorial Hospital Heliport,28,-80,US,US-FL
10448,heliport,West Boca Medical Center Heliport,26,-80,US,US-FL
10449,seaplane_base,Prairie Lake Private Res Sp Mooring Facility,29,-81,US,US-FL
10450,small_airport,Franklin Flying Field,39,-86,US,US-IN
10451,small_airport,Mount Royal Airport,29,-82,US,US-FL
10452,small_airport,Two J's Flying Ranch Airport,28,-82,US,US-FL
10453,heliport,Florida Hospital-Fish Memorial Heliport,29,-81,US,US-FL
10454,heliport,Sheriff's Operation Center Heliport,29,-82,US,US-FL
10455,heliport,Knobel Heliport,28,-81,US,US-FL
10456,small_airport,Mills Ranch South Airport,28,-81,US,US-FL
10457,heliport,Wink Tv Heliport,27,-82,US,US-FL
10458,heliport,Mack Bayor Airheart Heliport,30,-86,US,US-FL
10459,small_airport,Hart Airport,31,-85,US,US-FL
10460,heliport,Sun N Lake Heliport,28,-82,US,US-FL
10461,small_airport,Gen-Airpark,41,-90,US,US-IL
10462,small_airport,Butler Farm Show Airport,41,-80,US,US-PA
10463,small_airport,Grant Airport,34,-84,US,US-GA
10464,small_airport,Prattsburg Airport,33,-84,US,US-GA
10465,heliport,Tanner Medical Center Heliport,34,-85,US,US-GA
10466,small_airport,Warren Field,35,-85,US,US-GA
10467,heliport,Stonewall Heliport,34,-85,US,US-GA
10468,small_airport,Diamond R Ranch Airport,34,-85,US,US-GA
10469,small_airport,Erlen Airport,34,-85,US,US-GA
10470,small_airport,Rhodes Air Ranch Airport,33,-82,US,US-GA
10471,small_airport,Cauley's Airstrip,32,-83,US,US-GA
10472,small_airport,Vintage Field,33,-84,US,US-GA
10473,heliport,Okefenokee Heliport,31,-82,US,US-GA
10474,heliport,Williams Heliport,34,-84,US,US-GA
10475,small_airport,Broad River Air Park,34,-83,US,US-GA
10476,small_airport,Fox Mountain Airport,35,-86,US,US-GA
10477,heliport,Rockdale Hospital Heliport,34,-84,US,US-GA
10478,heliport,Wellstar Douglas Hospital Heliport,34,-85,US,US-GA
10479,small_airport,Eden Field,31,-81,US,US-GA
10480,small_airport,Prater Ranch Airport,34,-82,US,US-GA
10481,small_airport,Holly Farm Airport,34,-84,US,US-GA
10483,small_airport,Erie Air Park,42,-90,US,US-IL
10484,small_airport,Elwood Airport,40,-86,US,US-IN
10497,small_airport,Terry's Airport,41,-85,US,US-IN
299707,small_airport,Fremont (Murphy) Airport,42,-85,US,US-IN
10498,small_airport,Shenandoah Flying Field,39,-87,US,US-IN
10499,small_airport,Fifer Field,38,-88,US,US-IN
10500,small_airport,Basting Airport,41,-85,US,US-IN
10501,heliport,Lafayette Home Hospital Heliport,40,-87,US,US-IN
10502,small_airport,Stout Field,41,-87,US,US-IN
10503,heliport,Hawthorn Mine Heliport,39,-87,US,US-IN
